,Unnamed: 0,Club,League,Value Aug 1 of Year,Season,cleaned_new_club,longest_word_team
946,15,CA Independiente,Liga Profesional,74350000.0,2019/ 2020,independiente,i independiente i
947,16,CA Banfield,Liga Profesional,20900000.0,2019/ 2020,banfield,b banfield b
948,17,CD Godoy Cruz Antonio Tomba,Liga Profesional,18050000.0,2019/ 2020,godoy cruz antonio tomba,g antonio t
949,18,Club Atlético Tucumán,Liga Profesional,10880000.0,2019/ 2020,club atletico tucuman,c atletico t
950,19,CA Unión (Santa Fe),Liga Profesional,17700000.0,2019/ 2020,union santa fe,u union f
952,21,Club de Gimnasia y Esgrima La Plata,Liga Profesional,15000000.0,2019/ 2020,club de gimnasia y esgrima la plata,c gimnasia p
958,27,CA Central Córdoba (SdE),Liga Profesional,7530000.0,2019/ 2020,central cordoba sde,c central s
960,1,PSV Eindhoven,Eredivisie,156230000.0,2023/ 2024,eindhoven,e eindhoven e
961,2,Feyenoord Rotterdam,Eredivisie,197000000.0,2023/ 2024,feyenoord rotterdam,f feyenoord r
962,3,Ajax Amsterdam,Eredivisie,215550000.0,2023/ 2024,ajax amsterdam,a amsterdam a
963,4,AZ Alkmaar,Eredivisie,100750000.0,2023/ 2024,alkmaar,a alkmaar a
964,5,Twente Enschede FC,Eredivisie,39650000.0,2023/ 2024,twente enschede,t enschede e
965,6,FC Utrecht,Eredivisie,53400000.0,2023/ 2024,utrecht,u utrecht u
966,7,NEC Nijmegen,Eredivisie,20680000.0,2023/ 2024,nijmegen,n nijmegen n
967,8,Sparta Rotterdam,Eredivisie,26030000.0,2023/ 2024,sparta rotterdam,s rotterdam r
968,9,SC Heerenveen,Eredivisie,27100000.0,2023/ 2024,heerenveen,h heerenveen h
969,10,Go Ahead Eagles,Eredivisie,14530000.0,2023/ 2024,go ahead eagles,g eagles e
971,12,Fortuna Sittard,Eredivisie,16730000.0,2023/ 2024,fortuna sittard,f fortuna s
972,13,Heracles Almelo,Eredivisie,12180000.0,2023/ 2024,heracles almelo,h heracles a
974,15,Almere City FC,Eredivisie,9580000.0,2023/ 2024,almere city,a almere c
975,16,PEC Zwolle,Eredivisie,13080000.0,2023/ 2024,zwolle,z zwolle z
976,17,RKC Waalwijk,Eredivisie,9630000.0,2023/ 2024,waalwijk,w waalwijk w
978,1,PSV Eindhoven,Eredivisie,201250000.0,2022/ 2023,eindhoven,e eindhoven e
979,2,Feyenoord Rotterdam,Eredivisie,141900000.0,2022/ 2023,feyenoord rotterdam,f feyenoord r
980,3,Ajax Amsterdam,Eredivisie,247250000.0,2022/ 2023,ajax amsterdam,a amsterdam a
981,4,AZ Alkmaar,Eredivisie,64080000.0,2022/ 2023,alkmaar,a alkmaar a
982,5,Twente Enschede FC,Eredivisie,34980000.0,2022/ 2023,twente enschede,t enschede e
983,6,FC Utrecht,Eredivisie,36950000.0,2022/ 2023,utrecht,u utrecht u
984,7,NEC Nijmegen,Eredivisie,11000000.0,2022/ 2023,nijmegen,n nijmegen n
985,8,Sparta Rotterdam,Eredivisie,11600000.0,2022/ 2023,sparta rotterdam,s rotterdam r
986,9,SC Heerenveen,Eredivisie,17750000.0,2022/ 2023,heerenveen,h heerenveen h
987,10,Go Ahead Eagles,Eredivisie,8650000.0,2022/ 2023,go ahead eagles,g eagles e
988,11,FC Groningen,Eredivisie,27750000.0,2022/ 2023,groningen,g groningen g
989,12,Fortuna Sittard,Eredivisie,16100000.000000002,2022/ 2023,fortuna sittard,f fortuna s
994,17,RKC Waalwijk,Eredivisie,10630000.0,2022/ 2023,waalwijk,w waalwijk w
996,1,PSV Eindhoven,Eredivisie,173850000.0,2021/ 2022,eindhoven,e eindhoven e
997,2,Feyenoord Rotterdam,Eredivisie,99830000.0,2021/ 2022,feyenoord rotterdam,f feyenoord r
998,3,Ajax Amsterdam,Eredivisie,344900000.0,2021/ 2022,ajax amsterdam,a amsterdam a
999,4,AZ Alkmaar,Eredivisie,105750000.0,2021/ 2022,alkmaar,a alkmaar a
1000,5,Twente Enschede FC,Eredivisie,18580000.0,2021/ 2022,twente enschede,t enschede e
1001,6,FC Utrecht,Eredivisie,41980000.0,2021/ 2022,utrecht,u utrecht u
1002,7,NEC Nijmegen,Eredivisie,10400000.0,2021/ 2022,nijmegen,n nijmegen n
1003,8,Sparta Rotterdam,Eredivisie,15150000.0,2021/ 2022,sparta rotterdam,s rotterdam r
1004,9,SC Heerenveen,Eredivisie,33030000.0,2021/ 2022,heerenveen,h heerenveen h
1005,10,Go Ahead Eagles,Eredivisie,5780000.0,2021/ 2022,go ahead eagles,g eagles e
1006,11,FC Groningen,Eredivisie,26800000.0,2021/ 2022,groningen,g groningen g
1007,12,Fortuna Sittard,Eredivisie,11880000.0,2021/ 2022,fortuna sittard,f fortuna s
1008,13,Heracles Almelo,Eredivisie,13350000.0,2021/ 2022,heracles almelo,h heracles a
1011,16,PEC Zwolle,Eredivisie,11650000.0,2021/ 2022,zwolle,z zwolle z
1012,17,RKC Waalwijk,Eredivisie,8850000.0,2021/ 2022,waalwijk,w waalwijk w
1013,18,Willem II Tilburg,Eredivisie,12280000.0,2021/ 2022,willem  tilburg,w tilburg t
1014,1,PSV Eindhoven,Eredivisie,138680000.0,2020/ 2021,eindhoven,e eindhoven e
1015,2,Feyenoord Rotterdam,Eredivisie,82050000.0,2020/ 2021,feyenoord rotterdam,f feyenoord r
1016,3,Ajax Amsterdam,Eredivisie,337500000.0,2020/ 2021,ajax amsterdam,a amsterdam a
1017,4,AZ Alkmaar,Eredivisie,117750000.0,2020/ 2021,alkmaar,a alkmaar a
1018,5,Twente Enschede FC,Eredivisie,10500000.0,2020/ 2021,twente enschede,t enschede e
1019,6,FC Utrecht,Eredivisie,35980000.0,2020/ 2021,utrecht,u utrecht u
1021,8,Sparta Rotterdam,Eredivisie,10500000.0,2020/ 2021,sparta rotterdam,s rotterdam r
1022,9,SC Heerenveen,Eredivisie,18180000.0,2020/ 2021,heerenveen,h heerenveen h
1024,11,FC Groningen,Eredivisie,15280000.0,2020/ 2021,groningen,g groningen g
1025,12,Fortuna Sittard,Eredivisie,9380000.0,2020/ 2021,fortuna sittard,f fortuna s
1026,13,Heracles Almelo,Eredivisie,9400000.0,2020/ 2021,heracles almelo,h heracles a
1029,16,PEC Zwolle,Eredivisie,11750000.0,2020/ 2021,zwolle,z zwolle z
1030,17,RKC Waalwijk,Eredivisie,5250000.0,2020/ 2021,waalwijk,w waalwijk w
1031,18,Willem II Tilburg,Eredivisie,18900000.0,2020/ 2021,willem  tilburg,w tilburg t
1032,1,PSV Eindhoven,Eredivisie,219600000.0,2019/ 2020,eindhoven,e eindhoven e
1033,2,Feyenoord Rotterdam,Eredivisie,84150000.0,2019/ 2020,feyenoord rotterdam,f feyenoord r
1034,3,Ajax Amsterdam,Eredivisie,374500000.0,2019/ 2020,ajax amsterdam,a amsterdam a
1035,4,AZ Alkmaar,Eredivisie,61200000.0,2019/ 2020,alkmaar,a alkmaar a
1036,5,Twente Enschede FC,Eredivisie,12350000.0,2019/ 2020,twente enschede,t enschede e
1037,6,FC Utrecht,Eredivisie,45300000.0,2019/ 2020,utrecht,u utrecht u
1039,8,Sparta Rotterdam,Eredivisie,14180000.0,2019/ 2020,sparta rotterdam,s rotterdam r
1040,9,SC Heerenveen,Eredivisie,15350000.0,2019/ 2020,heerenveen,h heerenveen h
1042,11,FC Groningen,Eredivisie,25750000.0,2019/ 2020,groningen,g groningen g
1043,12,Fortuna Sittard,Eredivisie,11250000.0,2019/ 2020,fortuna sittard,f fortuna s
1044,13,Heracles Almelo,Eredivisie,19450000.0,2019/ 2020,heracles almelo,h heracles a
1047,16,PEC Zwolle,Eredivisie,15750000.0,2019/ 2020,zwolle,z zwolle z
1048,17,RKC Waalwijk,Eredivisie,7080000.0,2019/ 2020,waalwijk,w waalwijk w
1049,18,Willem II Tilburg,Eredivisie,10800000.0,2019/ 2020,willem  tilburg,w tilburg t
1050,1,SL Benfica,Liga Portugal,356000000.0,2023/ 2024,benfica,b benfica b
1051,2,Sporting CP,Liga Portugal,229900000.0,2023/ 2024,sporting,s sporting s
1052,3,FC Porto,Liga Portugal,297300000.0,2023/ 2024,porto,p porto p
1053,4,SC Braga,Liga Portugal,130699999.99999999,2023/ 2024,braga,b braga b
1054,5,Vitória Guimarães SC,Liga Portugal,44500000.0,2023/ 2024,vitoria guimaraes,v guimaraes g
1055,6,FC Famalicão,Liga Portugal,42700000.0,2023/ 2024,famalicao,f famalicao f
1056,7,FC Arouca,Liga Portugal,19400000.0,2023/ 2024,arouca,a arouca a
1057,8,Moreirense FC,Liga Portugal,9750000.0,2023/ 2024,moreirense,m moreirense m
1058,9,Boavista FC,Liga Portugal,22100000.0,2023/ 2024,boavista,b boavista b
1059,10,GD Estoril Praia,Liga Portugal,13280000.0,2023/ 2024,estoril praia,e estoril p
1060,11,Gil Vicente FC,Liga Portugal,17730000.0,2023/ 2024,gil vicente,g vicente v
1061,12,Rio Ave FC,Liga Portugal,13500000.0,2023/ 2024,rio ave,r rio a
1062,13,SC Farense,Liga Portugal,9430000.0,2023/ 2024,farense,f farense f
1063,14,Casa Pia AC,Liga Portugal,13830000.0,2023/ 2024,casa pia,c casa p
1065,16,CF Estrela Amadora SAD,Liga Portugal,10150000.0,2023/ 2024,estrela amadora,e estrela a
1068,1,SL Benfica,Liga Portugal,249000000.0,2022/ 2023,benfica,b benfica b
1069,2,Sporting CP,Liga Portugal,262700000.0,2022/ 2023,sporting,s sporting s
1070,3,FC Porto,Liga Portugal,253200000.0,2022/ 2023,porto,p porto p
1071,4,SC Braga,Liga Portugal,112730000.0,2022/ 2023,braga,b braga b
1072,5,Vitória Guimarães SC,Liga Portugal,39400000.0,2022/ 2023,vitoria guimaraes,v guimaraes g
1073,6,FC Famalicão,Liga Portugal,31250000.0,2022/ 2023,famalicao,f famalicao f
1074,7,FC Arouca,Liga Portugal,12880000.0,2022/ 2023,arouca,a arouca a
1076,9,Boavista FC,Liga Portugal,27550000.0,2022/ 2023,boavista,b boavista b
1077,10,GD Estoril Praia,Liga Portugal,21350000.0,2022/ 2023,estoril praia,e estoril p
1078,11,Gil Vicente FC,Liga Portugal,22650000.0,2022/ 2023,gil vicente,g vicente v
1079,12,Rio Ave FC,Liga Portugal,11180000.0,2022/ 2023,rio ave,r rio a
1081,14,Casa Pia AC,Liga Portugal,8050000.000000001,2022/ 2023,casa pia,c casa p
1082,15,CD Santa Clara,Liga Portugal,13780000.0,2022/ 2023,santa clara,s santa c
1086,1,SL Benfica,Liga Portugal,323350000.0,2021/ 2022,benfica,b benfica b
1087,2,Sporting CP,Liga Portugal,236880000.0,2021/ 2022,sporting,s sporting s
1088,3,FC Porto,Liga Portugal,284500000.0,2021/ 2022,porto,p porto p
1089,4,SC Braga,Liga Portugal,126200000.0,2021/ 2022,braga,b braga b
1090,5,Vitória Guimarães SC,Liga Portugal,52200000.0,2021/ 2022,vitoria guimaraes,v guimaraes g
1091,6,FC Famalicão,Liga Portugal,31080000.0,2021/ 2022,famalicao,f famalicao f
1092,7,FC Arouca,Liga Portugal,7030000.0,2021/ 2022,arouca,a arouca a
1093,8,Moreirense FC,Liga Portugal,17480000.0,2021/ 2022,moreirense,m moreirense m
1094,9,Boavista FC,Liga Portugal,22880000.0,2021/ 2022,boavista,b boavista b
1095,10,GD Estoril Praia,Liga Portugal,7480000.0,2021/ 2022,estoril praia,e estoril p
1096,11,Gil Vicente FC,Liga Portugal,13580000.0,2021/ 2022,gil vicente,g vicente v
1100,15,CD Santa Clara,Liga Portugal,19050000.0,2021/ 2022,santa clara,s santa c
1104,1,SL Benfica,Liga Portugal,306300000.0,2020/ 2021,benfica,b benfica b
1105,2,Sporting CP,Liga Portugal,110180000.0,2020/ 2021,sporting,s sporting s
1106,3,FC Porto,Liga Portugal,228330000.0,2020/ 2021,porto,p porto p
1107,4,SC Braga,Liga Portugal,76650000.0,2020/ 2021,braga,b braga b
1108,5,Vitória Guimarães SC,Liga Portugal,36600000.0,2020/ 2021,vitoria guimaraes,v guimaraes g
1109,6,FC Famalicão,Liga Portugal,14780000.0,2020/ 2021,famalicao,f famalicao f
1111,8,Moreirense FC,Liga Portugal,9080000.0,2020/ 2021,moreirense,m moreirense m
1112,9,Boavista FC,Liga Portugal,6980000.0,2020/ 2021,boavista,b boavista b
1114,11,Gil Vicente FC,Liga Portugal,8150000.0,2020/ 2021,gil vicente,g vicente v
1115,12,Rio Ave FC,Liga Portugal,18680000.0,2020/ 2021,rio ave,r rio a
1118,15,CD Santa Clara,Liga Portugal,13180000.0,2020/ 2021,santa clara,s santa c
1122,1,SL Benfica,Liga Portugal,314700000.0,2019/ 2020,benfica,b benfica b
1123,2,Sporting CP,Liga Portugal,215830000.0,2019/ 2020,sporting,s sporting s
1124,3,FC Porto,Liga Portugal,256750000.0,2019/ 2020,porto,p porto p
1125,4,SC Braga,Liga Portugal,92550000.0,2019/ 2020,braga,b braga b
1126,5,Vitória Guimarães SC,Liga Portugal,43680000.0,2019/ 2020,vitoria guimaraes,v guimaraes g
1127,6,FC Famalicão,Liga Portugal,14150000.0,2019/ 2020,famalicao,f famalicao f
1129,8,Moreirense FC,Liga Portugal,11050000.0,2019/ 2020,moreirense,m moreirense m
1130,9,Boavista FC,Liga Portugal,17650000.0,2019/ 2020,boavista,b boavista b
1132,11,Gil Vicente FC,Liga Portugal,5550000.0,2019/ 2020,gil vicente,g vicente v
1133,12,Rio Ave FC,Liga Portugal,17850000.0,2019/ 2020,rio ave,r rio a
1136,15,CD Santa Clara,Liga Portugal,15350000.0,2019/ 2020,santa clara,s santa c
1140,1,Club Brugge KV,Jupiler Pro League,137000000.0,2023/ 2024,club brugge,c brugge b
1141,2,KRC Genk,Jupiler Pro League,131750000.0,2023/ 2024,genk,g genk g
1142,3,Union Saint-Gilloise,Jupiler Pro League,37400000.0,2023/ 2024,union saintgilloise,u saintgilloise s
1143,4,RSC Anderlecht,Jupiler Pro League,75650000.0,2023/ 2024,anderlecht,a anderlecht a
1144,5,Royal Antwerp FC,Jupiler Pro League,90200000.0,2023/ 2024,royal antwerp,r antwerp a
1145,6,KAA Gent,Jupiler Pro League,81250000.0,2023/ 2024,gent,g gent g
1146,7,Cercle Brugge ,Jupiler Pro League,35980000.0,2023/ 2024,cercle brugge,c cercle b
1147,8,Standard Liège,Jupiler Pro League,44050000.0,2023/ 2024,standard liege,s standard l
1148,9,KVC Westerlo,Jupiler Pro League,27350000.0,2023/ 2024,westerlo,w westerlo w
1149,10,Oud-Heverlee Leuven,Jupiler Pro League,34400000.0,2023/ 2024,oudheverlee leuven,o oudheverlee l
1150,11,Sint-Truidense VV,Jupiler Pro League,13830000.0,2023/ 2024,sinttruidense,s sinttruidense s
1151,12,R Charleroi SC,Jupiler Pro League,34850000.0,2023/ 2024,r charleroi,r charleroi c
1152,13,KV Mechelen,Jupiler Pro League,22930000.0,2023/ 2024,mechelen,m mechelen m
1153,14,KV Kortrijk,Jupiler Pro League,15930000.0,2023/ 2024,kortrijk,k kortrijk k
1156,1,Club Brugge KV,Jupiler Pro League,174150000.0,2022/ 2023,club brugge,c brugge b
1157,2,KRC Genk,Jupiler Pro League,111800000.0,2022/ 2023,genk,g genk g
1158,3,Union Saint-Gilloise,Jupiler Pro League,31350000.0,2022/ 2023,union saintgilloise,u saintgilloise s
1159,4,RSC Anderlecht,Jupiler Pro League,99400000.0,2022/ 2023,anderlecht,a anderlecht a
1160,5,Royal Antwerp FC,Jupiler Pro League,65900000.00000001,2022/ 2023,royal antwerp,r antwerp a
1161,6,KAA Gent,Jupiler Pro League,54830000.0,2022/ 2023,gent,g gent g
1162,7,Cercle Brugge ,Jupiler Pro League,23750000.0,2022/ 2023,cercle brugge,c cercle b
1163,8,Standard Liège,Jupiler Pro League,35950000.0,2022/ 2023,standard liege,s standard l
1164,9,KVC Westerlo,Jupiler Pro League,24700000.0,2022/ 2023,westerlo,w westerlo w
1165,10,Oud-Heverlee Leuven,Jupiler Pro League,20550000.0,2022/ 2023,oudheverlee leuven,o oudheverlee l
1166,11,Sint-Truidense VV,Jupiler Pro League,13950000.0,2022/ 2023,sinttruidense,s sinttruidense s
1167,12,R Charleroi SC,Jupiler Pro League,35230000.0,2022/ 2023,r charleroi,r charleroi c
1168,13,KV Mechelen,Jupiler Pro League,28350000.0,2022/ 2023,mechelen,m mechelen m
1169,14,KV Kortrijk,Jupiler Pro League,21730000.0,2022/ 2023,kortrijk,k kortrijk k
1172,1,Club Brugge KV,Jupiler Pro League,126750000.0,2021/ 2022,club brugge,c brugge b
1173,2,KRC Genk,Jupiler Pro League,129900000.0,2021/ 2022,genk,g genk g
1174,3,Union Saint-Gilloise,Jupiler Pro League,14580000.0,2021/ 2022,union saintgilloise,u saintgilloise s
1175,4,RSC Anderlecht,Jupiler Pro League,90200000.0,2021/ 2022,anderlecht,a anderlecht a
1176,5,Royal Antwerp FC,Jupiler Pro League,48780000.0,2021/ 2022,royal antwerp,r antwerp a
1177,6,KAA Gent,Jupiler Pro League,57380000.0,2021/ 2022,gent,g gent g
1178,7,Cercle Brugge ,Jupiler Pro League,18700000.0,2021/ 2022,cercle brugge,c cercle b
1179,8,Standard Liège,Jupiler Pro League,61180000.0,2021/ 2022,standard liege,s standard l
1181,10,Oud-Heverlee Leuven,Jupiler Pro League,22450000.0,2021/ 2022,oudheverlee leuven,o oudheverlee l
1182,11,Sint-Truidense VV,Jupiler Pro League,17350000.0,2021/ 2022,sinttruidense,s sinttruidense s
1183,12,R Charleroi SC,Jupiler Pro League,31530000.0,2021/ 2022,r charleroi,r charleroi c
1184,13,KV Mechelen,Jupiler Pro League,23150000.0,2021/ 2022,mechelen,m mechelen m
1185,14,KV Kortrijk,Jupiler Pro League,16100000.000000002,2021/ 2022,kortrijk,k kortrijk k
1187,16,Beerschot V.A.,Jupiler Pro League,21230000.0,2021/ 2022,beerschot,b beerschot b
1188,1,Club Brugge KV,Jupiler Pro League,120180000.0,2020/ 2021,club brugge,c brugge b
1189,2,KRC Genk,Jupiler Pro League,81780000.0,2020/ 2021,genk,g genk g
1191,4,RSC Anderlecht,Jupiler Pro League,98400000.0,2020/ 2021,anderlecht,a anderlecht a
1192,5,Royal Antwerp FC,Jupiler Pro League,40400000.0,2020/ 2021,royal antwerp,r antwerp a
1193,6,KAA Gent,Jupiler Pro League,100080000.0,2020/ 2021,gent,g gent g
1194,7,Cercle Brugge ,Jupiler Pro League,9380000.0,2020/ 2021,cercle brugge,c cercle b
1195,8,Standard Liège,Jupiler Pro League,63180000.0,2020/ 2021,standard liege,s standard l
1198,11,Sint-Truidense VV,Jupiler Pro League,16350000.000000002,2020/ 2021,sinttruidense,s sinttruidense s
1199,12,R Charleroi SC,Jupiler Pro League,30000000.0,2020/ 2021,r charleroi,r charleroi c
1200,13,KV Mechelen,Jupiler Pro League,20600000.0,2020/ 2021,mechelen,m mechelen m
1201,14,KV Kortrijk,Jupiler Pro League,14500000.0,2020/ 2021,kortrijk,k kortrijk k
1204,1,Club Brugge KV,Jupiler Pro League,112880000.0,2019/ 2020,club brugge,c brugge b
1205,2,KRC Genk,Jupiler Pro League,114300000.0,2019/ 2020,genk,g genk g
1207,4,RSC Anderlecht,Jupiler Pro League,112200000.0,2019/ 2020,anderlecht,a anderlecht a
1208,5,Royal Antwerp FC,Jupiler Pro League,34900000.0,2019/ 2020,royal antwerp,r antwerp a
1209,6,KAA Gent,Jupiler Pro League,85550000.0,2019/ 2020,gent,g gent g
1210,7,Cercle Brugge ,Jupiler Pro League,24950000.0,2019/ 2020,cercle brugge,c cercle b
1211,8,Standard Liège,Jupiler Pro League,78250000.0,2019/ 2020,standard liege,s standard l
1214,11,Sint-Truidense VV,Jupiler Pro League,18130000.0,2019/ 2020,sinttruidense,s sinttruidense s
1215,12,R Charleroi SC,Jupiler Pro League,40150000.0,2019/ 2020,r charleroi,r charleroi c
1216,13,KV Mechelen,Jupiler Pro League,16079999.999999998,2019/ 2020,mechelen,m mechelen m
1217,14,KV Kortrijk,Jupiler Pro League,15750000.0,2019/ 2020,kortrijk,k kortrijk k
1220,1,Galatasaray,Süper Lig,215980000.0,2023/ 2024,galatasaray,g galatasaray g
1221,2,Fenerbahce,Süper Lig,179800000.0,2023/ 2024,fenerbahce,f fenerbahce f
1222,3,Besiktas JK,Süper Lig,105300000.0,2023/ 2024,besiktas,b besiktas b
1223,4,Trabzonspor,Süper Lig,94780000.0,2023/ 2024,trabzonspor,t trabzonspor t
1224,5,Basaksehir FK,Süper Lig,51250000.0,2023/ 2024,basaksehir,b basaksehir b
1225,6,Samsunspor,Süper Lig,18650000.0,2023/ 2024,samsunspor,s samsunspor s
1226,7,Caykur Rizespor,Süper Lig,11580000.0,2023/ 2024,caykur rizespor,c rizespor r
1228,9,Alanyaspor,Süper Lig,33830000.0,2023/ 2024,alanyaspor,a alanyaspor a
1229,10,Adana Demirspor,Süper Lig,42200000.0,2023/ 2024,adana demirspor,a demirspor d
1230,11,Kayserispor,Süper Lig,20680000.0,2023/ 2024,kayserispor,k kayserispor k
1231,12,Kasimpasa,Süper Lig,16079999.999999998,2023/ 2024,kasimpasa,k kasimpasa k
1232,13,Sivasspor,Süper Lig,15930000.0,2023/ 2024,sivasspor,s sivasspor s
1233,14,Antalyaspor,Süper Lig,30780000.0,2023/ 2024,antalyaspor,a antalyaspor a
1234,15,Konyaspor,Süper Lig,21780000.0,2023/ 2024,konyaspor,k konyaspor k
1235,16,Hatayspor,Süper Lig,21390000.0,2023/ 2024,hatayspor,h hatayspor h
1238,19,Gaziantep FK,Süper Lig,17830000.0,2023/ 2024,gaziantep,g gaziantep g
1239,1,Galatasaray,Süper Lig,119930000.0,2022/ 2023,galatasaray,g galatasaray g
1240,2,Fenerbahce,Süper Lig,177230000.0,2022/ 2023,fenerbahce,f fenerbahce f
